Wafer_ID,BCl3_Flow_S4_mean,BCl3_Flow_S5_mean,Cl2_Flow_S4_mean,Cl2_Flow_S5_mean,RF_Btm_Pwr_S4_mean,RF_Btm_Pwr_S5_mean,RF_Btm_Rfl_Pwr_S4_mean,RF_Btm_Rfl_Pwr_S5_mean,Endpt_A_S4_mean,Endpt_A_S5_mean,He_Press_S4_mean,He_Press_S5_mean,Pressure_S4_mean,Pressure_S5_mean,RF_Tuner_S4_mean,RF_Tuner_S5_mean,RF_Load_S4_mean,RF_Load_S5_mean,RF_Phase_Err_S4_mean,RF_Phase_Err_S5_mean,RF_Pwr_S4_mean,RF_Pwr_S5_mean,RF_Impedance_S4_mean,RF_Impedance_S5_mean,TCP_Tuner_S4_mean,TCP_Tuner_S5_mean,TCP_Phase_Err_S4_mean,TCP_Phase_Err_S5_mean,TCP_Impedance_S4_mean,TCP_Impedance_S5_mean,TCP_Top_Pwr_S4_mean,TCP_Top_Pwr_S5_mean,TCP_Rfl_Pwr_S4_mean,TCP_Rfl_Pwr_S5_mean,TCP_Load_S4_mean,TCP_Load_S5_mean,Vat_Valve_S4_mean,Vat_Valve_S5_mean
l2933,751.5106382978723,751.8490566037735,753.1063829787234,753.3584905660377,133.12765957446808,132.9811320754717,0.02127659574468085,0.0,1562.0212765957447,895.0943396226415,100.48936170212765,100.69811320754717,1187.7021276595744,1186.0943396226414,9460.659574468085,9477.943396226416,9051.234042553191,9013.811320754718,-906.4468085106383,-106.71698113207547,24.4468085106383,22.433962264150942,16522.40425531915,16669.528301886792,19421.44680851064,19516.264150943396,17.106382978723403,-50.9811320754717,16524.510638297874,16483.77358490566,349.48936170212767,348.92452830188677,0.14893617021276595,0.1320754716981132,27804.468085106382,27780.867924528302,48.91489361702128,49.75471698113208
l2932,751.6382978723404,751.7358490566038,753.2765957446809,753.3018867924528,132.80851063829786,133.1509433962264,0.06382978723404255,0.0,1562.127659574468,894.2264150943396,100.53191489361703,100.54716981132076,1188.1702127659576,1186.4528301886792,9455.425531914894,9475.301886792453,9054.659574468085,9013.358490566037,-890.3191489361702,-515.433962264151,24.4468085106383,22.9811320754717,16522.36170212766,16588.56603773585,19446.59574468085,19530.415094339623,-44.38297872340426,-154.56603773584905,16556.212765957447,16580.075471698114,349.40425531914894,348.8867924528302,0.2127659574468085,0.07547169811320754,27826.59574468085,27761.77358490566,48.93617021276596,49.679245283018865
l2909,751.5714285714286,751.75,753.1836734693877,753.1428571428571,133.18367346938774,133.21428571428572,0.0,0.0,1554.7755102040817,908.0357142857143,100.46938775510205,100.625,1188.530612244898,1185.9642857142858,9436.714285714286,9460.160714285714,9052.448979591836,9026.80357142857,-945.4489795918367,41.785714285714285,24.142857142857142,22.160714285714285,16560.755102040817,16610.535714285714,19454.0,19557.214285714286,-10.10204081632653,45.035714285714285,16468.85714285714,16463.64285714286,348.9387755102041,349.42857142857144,0.3469387755102041,0.17857142857142858,27835.428571428572,27743.178571428572,49.02040816326531,49.910714285714285
l2924,751.7446808510638,751.7115384615385,753.2553191489362,753.1153846153846,133.80851063829786,133.55769230769232,0.02127659574468085,0.0,1572.3191489361702,900.2307692307693,100.65957446808511,100.65384615384616,1188.872340425532,1185.8846153846155,9480.978723404256,9479.01923076923,9055.531914893618,9019.442307692309,-881.2127659574468,1.7307692307692308,23.595744680851062,22.173076923076923,16673.91489361702,16665.94230769231,19424.08510638298,19520.53846153846,16.25531914893617,-73.61538461538461,16616.0,16515.653846153848,348.70212765957444,349.40384615384613,0.19148936170212766,0.1346153846153846,27838.936170212764,27749.26923076923,48.97872340425532,49.82692307692308
l2929,751.5957446808511,751.7924528301887,753.1063829787234,753.3018867924528,133.6595744680851,133.1509433962264,0.02127659574468085,0.0,1563.7021276595744,895.6603773584906,100.76595744680851,100.66037735849056,1188.3617021276596,1185.622641509434,9461.234042553191,9485.169811320755,9051.744680851063,9014.77358490566,-801.9148936170212,5.132075471698113,24.80851063829787,22.79245283018868,16483.44680851064,16573.98113207547,19439.531914893618,19519.132075471698,137.36170212765958,-17.11320754716981,16459.659574468085,16441.056603773584,350.25531914893617,349.52830188679246,0.2127659574468085,0.03773584905660377,27828.127659574468,27716.188679245282,48.97872340425532,49.83018867924528
l2931,751.5208333333334,751.9230769230769,753.125,753.4038461538462,132.875,133.07692307692307,0.020833333333333332,0.0,1545.8125,895.0192307692307,100.54166666666667,100.67307692307692,1188.4375,1186.3461538461538,9444.25,9475.23076923077,9056.125,9017.826923076924,-877.4375,90.38461538461539,24.604166666666668,22.307692307692307,16495.0625,16703.173076923078,19459.208333333332,19518.653846153848,49.604166666666664,27.076923076923077,16508.625,16525.884615384617,350.2708333333333,348.46153846153845,0.375,0.15384615384615385,27842.875,27769.846153846152,48.958333333333336,49.82692307692308
l2935,751.6041666666666,751.811320754717,753.1458333333334,753.377358490566,133.0,133.1509433962264,0.0,0.0,1548.3958333333333,891.6415094339623,100.60416666666667,100.58490566037736,1188.7291666666667,1185.8301886792453,9469.604166666666,9484.377358490567,9045.1875,9022.830188679245,-1002.2083333333334,55.81132075471698,24.520833333333332,22.528301886792452,16503.0,16608.54716981132,19418.0,19505.69811320755,31.333333333333332,-43.75471698113208,16553.708333333332,16535.924528301886,348.9166666666667,349.49056603773585,0.3125,0.05660377358490566,27824.541666666668,27765.66037735849,48.958333333333336,49.83018867924528
l2903,751.46,751.7321428571429,753.32,753.125,133.36,133.07142857142858,0.0,0.0,1508.94,888.875,100.66,100.64285714285714,1188.2,1185.857142857143,9431.84,9459.160714285714,9054.34,9027.625,-1078.42,-16.857142857142858,23.24,21.678571428571427,16567.98,16649.48214285714,19463.36,19558.464285714286,-14.76,2.6607142857142856,16553.92,16555.428571428572,348.54,349.2142857142857,0.28,0.017857142857142856,27852.8,27722.571428571428,49.0,49.875
l2913,751.6938775510204,751.7454545454545,753.265306122449,753.2363636363636,133.57142857142858,133.4181818181818,0.0,0.0,1564.8163265306123,911.4363636363636,100.57142857142857,100.69090909090909,1188.0,1186.3454545454545,9469.877551020409,9467.527272727273,9048.69387755102,9020.072727272727,-759.6938775510204,-3.3454545454545452,23.979591836734695,21.98181818181818,16586.877551020407,16739.072727272727,19407.714285714286,19524.145454545454,32.53061224489796,-4.709090909090909,16553.14285714286,16458.21818181818,350.40816326530614,349.5090909090909,0.2653061224489796,0.12727272727272726,27837.591836734693,27731.418181818182,49.02040816326531,49.872727272727275
l2926,751.5869565217391,751.7592592592592,753.1739130434783,753.1851851851852,133.6086956521739,132.96296296296296,0.0,0.0,1575.608695652174,899.7592592592592,100.6086956521739,100.5925925925926,1188.5869565217392,1185.7962962962963,9468.217391304348,9479.277777777777,9050.391304347826,9028.277777777777,-966.7826086956521,99.14814814814815,24.152173913043477,22.22222222222222,16527.347826086956,16608.85185185185,19386.782608695652,19525.74074074074,45.15217391304348,-38.25925925925926,16531.608695652172,16446.11111111111,350.32608695652175,348.64814814814815,0.32608695652173914,0.09259259259259259,27853.08695652174,27743.0,48.93478260869565,49.7962962962963
