0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9.69043,4.0,751.0,753.0,135.0,0.0,646.0,101.0,1231.0,9424.0,9076.0,-696.0,25.0,17173.0,19988.0,-80.0,16704.0,347.0,0.0,27636.0,49.0
10.7109,4.0,751.0,753.0,132.0,0.0,622.0,101.0,1226.0,9406.0,9061.0,-766.0,26.0,16549.0,19988.0,-878.0,16654.0,346.0,0.0,27510.0,49.0
11.7334,4.0,751.0,754.0,135.0,0.0,605.0,101.0,1224.0,9486.0,8997.0,-1237.0,26.0,16821.0,20062.0,129.0,16612.0,357.0,0.0,27366.0,49.0
12.75,4.0,751.0,756.0,135.0,0.0,588.0,100.0,1213.0,9417.0,9099.0,-936.0,26.0,16558.0,20100.0,-496.0,17016.0,344.0,0.0,27346.0,49.0
13.7695,4.0,751.0,753.0,133.0,0.0,607.0,101.0,1184.0,9521.0,9019.0,608.0,25.0,16218.0,20298.0,-380.0,16566.0,344.0,0.0,27294.0,50.0
14.791,4.0,751.0,753.0,135.0,0.0,1609.0,101.0,1142.0,9437.0,9052.0,-1725.0,25.0,16913.0,19144.0,432.0,18124.0,348.0,1.0,28126.0,49.0
15.9199,4.0,751.0,754.0,135.0,0.0,1813.0,101.0,1178.0,9405.0,9122.0,120.0,27.0,16019.0,19576.0,-80.0,15420.0,356.0,0.0,27710.0,48.0
16.9404,4.0,751.0,753.0,135.0,0.0,1742.0,100.0,1205.0,9426.0,9122.0,-621.0,25.0,16680.0,19460.0,1020.0,16746.0,348.0,0.0,28038.0,48.0
17.9893,4.0,752.0,754.0,132.0,0.0,1399.0,101.0,1213.0,9439.0,9091.0,1171.0,24.0,16779.0,19598.0,-885.0,17066.0,344.0,0.0,27776.0,49.0
19.0107,4.0,752.0,753.0,133.0,0.0,1671.0,100.0,1155.0,9486.0,8995.0,-443.0,25.0,16514.0,19546.0,-93.0,16322.0,342.0,0.0,27832.0,49.0
20.0303,4.0,751.0,753.0,132.0,0.0,1663.0,101.0,1192.0,9440.0,9068.0,-1135.0,25.0,16555.0,19628.0,-441.0,16588.0,346.0,0.0,27852.0,48.0
21.0508,4.0,751.0,753.0,132.0,0.0,1674.0,100.0,1190.0,9482.0,9040.0,-1635.0,25.0,16429.0,19454.0,-36.0,16512.0,343.0,1.0,27834.0,49.0
22.0703,4.0,751.0,753.0,133.0,0.0,1682.0,100.0,1181.0,9445.0,9020.0,-1309.0,25.0,16514.0,19542.0,-43.0,16192.0,349.0,1.0,27936.0,49.0
23.0908,4.0,751.0,754.0,134.0,0.0,1699.0,100.0,1185.0,9432.0,9045.0,-836.0,26.0,16337.0,19344.0,-494.0,16802.0,351.0,0.0,27854.0,49.0
24.1104,4.0,752.0,753.0,134.0,0.0,1711.0,101.0,1185.0,9440.0,9102.0,-1077.0,25.0,16312.0,19522.0,109.0,16738.0,346.0,0.0,27812.0,49.0
25.1563,4.0,752.0,753.0,136.0,0.0,1740.0,100.0,1187.0,9445.0,9074.0,-1004.0,25.0,16595.0,19334.0,84.0,16342.0,351.0,1.0,28034.0,49.0
26.1494,4.0,752.0,753.0,132.0,0.0,1761.0,101.0,1181.0,9445.0,9103.0,-1696.0,25.0,16499.0,19368.0,41.0,16386.0,346.0,0.0,27854.0,49.0
27.1709,4.0,752.0,753.0,134.0,0.0,1773.0,100.0,1183.0,9391.0,9051.0,-994.0,25.0,16613.0,19434.0,92.0,16056.0,344.0,1.0,27818.0,49.0
28.1904,4.0,751.0,754.0,133.0,0.0,1777.0,100.0,1183.0,9440.0,9022.0,-1264.0,25.0,16434.0,19150.0,47.0,16380.0,350.0,0.0,27932.0,49.0
29.2109,4.0,752.0,754.0,132.0,0.0,1780.0,100.0,1185.0,9434.0,9040.0,-604.0,25.0,16780.0,19344.0,378.0,16304.0,351.0,0.0,28010.0,49.0
30.2305,4.0,751.0,753.0,132.0,0.0,1779.0,101.0,1183.0,9461.0,9065.0,-1581.0,25.0,16458.0,19320.0,136.0,16504.0,350.0,0.0,27912.0,49.0
